idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
3373,-5.852617263793945,-5.555676460266113,-3.682985305786133,-3.571208953857422,-4.071863174438477,-4.045335292816162,-3.0666861534118652,-3.200258731842041
3374,-5.264133453369141,-4.627090930938721,-3.705510139465332,-3.0576062202453613,-4.045335292816162,-4.071863174438477,-3.200258731842041,-3.0666861534118652
3375,-5.852617263793945,-5.555676460266113,-6.606507301330566,-6.330016136169434,-4.071863174438477,-4.045335292816162,-4.3364105224609375,-4.452452659606934
3376,-5.264133453369141,-4.627090930938721,-6.2712812423706055,-6.0638275146484375,-4.045335292816162,-4.071863174438477,-4.452452659606934,-4.3364105224609375
3377,-5.852617263793945,-5.555676460266113,-6.237104415893555,-5.550447940826416,-4.071863174438477,-4.045335292816162,-4.2764177322387695,-4.63140344619751
3378,-5.264133453369141,-4.627090930938721,-5.41689395904541,-5.667544364929199,-4.045335292816162,-4.071863174438477,-4.63140344619751,-4.2764177322387695
3379,-4.88631010055542,-4.7123918533325195,-3.682985305786133,-3.571208953857422,-2.9296844005584717,-3.1533093452453613,-3.0666861534118652,-3.200258731842041
3380,-4.782706260681152,-4.156257629394531,-3.705510139465332,-3.0576062202453613,-3.1533093452453613,-2.9296844005584717,-3.200258731842041,-3.0666861534118652
3381,-4.88631010055542,-4.7123918533325195,-6.606507301330566,-6.330016136169434,-2.9296844005584717,-3.1533093452453613,-4.3364105224609375,-4.452452659606934
3382,-4.782706260681152,-4.156257629394531,-6.2712812423706055,-6.0638275146484375,-3.1533093452453613,-2.9296844005584717,-4.452452659606934,-4.3364105224609375
3383,-4.88631010055542,-4.7123918533325195,-6.237104415893555,-5.550447940826416,-2.9296844005584717,-3.1533093452453613,-4.2764177322387695,-4.63140344619751
3384,-4.782706260681152,-4.156257629394531,-5.41689395904541,-5.667544364929199,-3.1533093452453613,-2.9296844005584717,-4.63140344619751,-4.2764177322387695
3385,-3.849526882171631,-3.4189505577087402,-4.110066890716553,-3.838968515396118,-4.409271240234375,-4.553300857543945,-3.0666861534118652,-3.200258731842041
3386,-4.433520317077637,-3.788501739501953,-4.339998245239258,-3.7535243034362793,-4.553300857543945,-4.409271240234375,-3.200258731842041,-3.0666861534118652
3387,-3.849526882171631,-3.4189505577087402,-6.277846336364746,-6.053066253662109,-4.409271240234375,-4.553300857543945,-4.3364105224609375,-4.452452659606934
3388,-4.433520317077637,-3.788501739501953,-5.780509948730469,-5.619141578674316,-4.553300857543945,-4.409271240234375,-4.452452659606934,-4.3364105224609375
3389,-3.849526882171631,-3.4189505577087402,-6.216571807861328,-5.861118316650391,-4.409271240234375,-4.553300857543945,-4.2764177322387695,-4.63140344619751
3390,-4.433520317077637,-3.788501739501953,-5.744317531585693,-5.697728157043457,-4.553300857543945,-4.409271240234375,-4.63140344619751,-4.2764177322387695
3391,-5.808547019958496,-5.2984724044799805,-4.110066890716553,-3.838968515396118,-4.071863174438477,-4.045335292816162,-3.0666861534118652,-3.200258731842041
3392,-5.923978805541992,-5.55904483795166,-4.339998245239258,-3.7535243034362793,-4.045335292816162,-4.071863174438477,-3.200258731842041,-3.0666861534118652
